::1 - Thu Dec 26 2019 16:21:11 GMT-0500 (Eastern Standard Time) - GET /stylesheets/style.css HTTP/1.1 304 - - 4 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:21:11 GMT-0500 (Eastern Standard Time) - GET /javascripts/html5shiv.min.js HTTP/1.1 304 - - 1 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:21:11 GMT-0500 (Eastern Standard Time) - GET /javascripts/html5shiv-printshiv.min.js HTTP/1.1 304 - - 1 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:21:11 GMT-0500 (Eastern Standard Time) - GET /javascripts/respond.min.js HTTP/1.1 304 - - 1 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:21:11 GMT-0500 (Eastern Standard Time) - GET /javascripts/respond.matchmedia.addListener.min.js HTTP/1.1 304 - - 1 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:21:11 GMT-0500 (Eastern Standard Time) - GET /notes HTTP/1.1 304 - - 38 - Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:21:11 GMT-0500 (Eastern Standard Time) - GET /stylesheets/style.css HTTP/1.1 304 - - 1 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:21:11 GMT-0500 (Eastern Standard Time) - GET /javascripts/html5shiv.min.js HTTP/1.1 304 - - 1 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:21:11 GMT-0500 (Eastern Standard Time) - GET /javascripts/html5shiv-printshiv.min.js HTTP/1.1 304 - - 1 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:21:11 GMT-0500 (Eastern Standard Time) - GET /javascripts/respond.min.js HTTP/1.1 304 - - 1 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:21:11 GMT-0500 (Eastern Standard Time) - GET /javascripts/respond.matchmedia.addListener.min.js HTTP/1.1 304 - - 1 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:21:12 GMT-0500 (Eastern Standard Time) - GET /notes HTTP/1.1 304 - - 19 - Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:21:12 GMT-0500 (Eastern Standard Time) - GET /stylesheets/style.css HTTP/1.1 304 - - 1 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:21:12 GMT-0500 (Eastern Standard Time) - GET /javascripts/html5shiv.min.js HTTP/1.1 304 - - 6 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
::1 - Thu Dec 26 2019 16:21:12 GMT-0500 (Eastern Standard Time) - GET /javascripts/html5shiv-printshiv.min.js HTTP/1.1 304 - - 6 http://localhost:3000/notes Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
